scheme_name,min_sip,min_lumpsum,expense_ratio,fund_size_cr,fund_age_yr,fund_manager,sortino,alpha,sd,beta,sharpe,risk_level,amc_name,rating,category,sub_category,returns_1yr,returns_3yr,returns_5yr,sd_risk,beta_risk,sharpe_risk,sortino_risk,risk_score,calculated_risk_level,calculated_risk_numeric,risk_explanation,return_score,sharpe_quality,sortino_quality,fund_quality_score,risk_gap,risk_compatibility,recommendation_score
Aditya Birla SL Active Debt Multi-Mgr FoF-Dir Growth,100,100,0.27,10.0,10,Kaustubh Gupta,0.32,2.24,9.39,0.01,0.24,3,Aditya Birla Sun Life Mutual Fund,3,Other,FoFs Domestic,4.0,6.5,6.9,29.411764705882355,5.88235294117647,100.0,100.0,52.94117647058823,Moderate,3,Primary risk drivers: Sharpe Risk and Downside Risk.,5.88235294117647,2.941176470588235,2.941176470588235,4.117647058823529,0,100.0,52.411764705882355
Aditya Birla SL Arbitrage Fund,1000,1000,0.36,4288.0,10,Lovelish Solanki,1.33,1.53,0.72,0.56,1.1,1,Aditya Birla Sun Life Mutual Fund,3,Hybrid,Arbitrage Mutual Funds,5.6,4.8,5.5,65.9090909090909,59.09090909090909,40.909090909090914,40.909090909090914,54.54545454545456,Moderate,3,Primary risk drivers: Volatility and Market Sensitivity.,70.45454545454545,63.63636363636363,63.63636363636363,66.36363636363636,0,100.0,84.0
Aditya Birla SL Asset Allocator FoF-Dir Growth,1000,1000,0.53,157.0,10,Vinod Narayan Bhat,3.44,2.67,10.58,0.67,1.42,5,Aditya Birla Sun Life Mutual Fund,3,Other,FoFs Domestic,2.0,18.9,9.7,38.23529411764706,38.23529411764706,32.35294117647059,23.52941176470588,34.11764705882353,Low,2,Primary risk drivers: Volatility and Market Sensitivity.,64.70588235294117,70.58823529411765,79.41176470588235,70.88235294117646,1,75.0,71.70588235294117
Aditya Birla SL Bal Bhavishya Yojna – Dir Growth,500,1000,0.76,637.0,4,Atul Penkar,2.18,-6.37,14.99,0.85,0.9,6,Aditya Birla Sun Life Mutual Fund,2,Solution Oriented,Childrens Funds,-0.7,17.1,,75.0,50.0,100.0,100.0,80.0,Very High,5,Primary risk drivers: Sharpe Risk and Downside Risk.,31.25,12.5,12.5,20.0,2,50.0,37.25
Aditya Birla SL Balanced Advantage Fund,100,100,0.61,6386.0,10,Mohit Sharma,3.69,1.99,10.38,0.68,1.39,6,Aditya Birla Sun Life Mutual Fund,4,Hybrid,Dynamic Asset Allocation or Balanced Advantage,4.5,18.6,9.7,78.94736842105263,89.47368421052632,47.368421052631575,31.57894736842105,65.26315789473684,High,4,Primary risk drivers: Market Sensitivity and Volatility.,78.94736842105263,57.89473684210527,73.68421052631578,71.05263157894737,1,75.0,74.60526315789474
Aditya Birla SL Banking&Financial Services-DirGrowth,1000,1000,1.17,2384.0,9,Dhaval Gala,2.07,1.24,25.53,0.96,0.97,6,Aditya Birla Sun Life Mutual Fund,2,Equity,Sectoral / Thematic Mutual Funds,5.3,24.6,9.2,100.0,92.94871794871796,91.66666666666666,91.02564102564102,95.12820512820512,Very High,5,Primary risk drivers: Volatility and Market Sensitivity.,33.33333333333333,9.615384615384617,10.256410256410255,19.294871794871792,2,50.0,37.455128205128204
Aditya Birla SL Banking&PSU Debt Fund,1000,1000,0.37,7994.0,10,Kaustubh Gupta,1.92,4.46,1.91,1.78,1.09,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Banking and PSU Mutual Funds,4.5,6.8,7.3,47.05882352941176,41.17647058823529,17.647058823529413,29.411764705882355,36.470588235294116,Low,2,Primary risk drivers: Volatility and Market Sensitivity.,67.64705882352942,88.23529411764706,76.47058823529412,76.47058823529412,1,75.0,73.97058823529412
Aditya Birla SL Corporate Bond Fund,100,100,0.31,12120.0,10,Kaustubh Gupta,2.28,2.38,1.93,0.78,1.35,2,Aditya Birla Sun Life Mutual Fund,4,Debt,Corporate Bond Mutual Funds,4.9,7.1,7.4,55.55555555555556,72.22222222222221,16.666666666666664,27.77777777777778,45.555555555555564,Moderate,3,Primary risk drivers: Market Sensitivity and Volatility.,88.88888888888889,88.88888888888889,77.77777777777779,85.55555555555556,0,100.0,93.44444444444446
Aditya Birla SL Credit Risk Fund,100,100,0.69,1032.0,8,Sunaina da Cunha,1.82,3.01,2.9,-0.95,1.47,4,Aditya Birla Sun Life Mutual Fund,4,Debt,Credit Risk Funds,8.7,9.0,7.2,42.857142857142854,42.857142857142854,28.57142857142857,57.14285714285714,42.85714285714286,Moderate,3,Primary risk drivers: Downside Risk and Volatility.,71.42857142857143,78.57142857142857,50.0,67.14285714285714,0,100.0,84.42857142857143
Aditya Birla SL Digital India Fund,100,1000,0.88,3338.0,10,Kunal Sangoi,2.42,9.37,21.12,0.83,1.53,6,Aditya Birla Sun Life Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-14.6,39.8,21.1,75.64102564102564,58.333333333333336,33.97435897435898,64.1025641025641,61.53846153846153,High,4,Primary risk drivers: Volatility and Downside Risk.,93.58974358974359,67.3076923076923,37.17948717948718,68.78205128205128,1,75.0,76.8525641025641
